"Target","Submission Date","Difficulty","Quaternary State of Target","# of Monomeric Models (Homo-oligomeric)","ref. PDB [Chain]","Sequence Length (residues)","Method","Resolution"
"2022-06-25_00000009_1","2022-06-25","1","2","83","7dri [A]","493","X-RAY DIFFRACTION","2.72"
"2022-06-25_00000058_1","2022-06-25","1","0","87","7pln [A]","271","X-RAY DIFFRACTION","3.15"
"2022-06-25_00000059_1","2022-06-25","1","1","88","7pp2 [A]","606","X-RAY DIFFRACTION","2.69"
"2022-06-25_00000109_1","2022-06-25","1","0","83","7t9x [A]","73","X-RAY DIFFRACTION","1.52"
"2022-06-25_00000113_1","2022-06-25","0","2","84","7tdv [C]","449","X-RAY DIFFRACTION","2.92"
"2022-06-25_00000115_1","2022-06-25","0","2","86","7tec [A]","125","X-RAY DIFFRACTION","3.45"
"2022-06-18_00000008_1","2022-06-18","0","0","90","7b8b [A]","420","X-RAY DIFFRACTION","2.03"
"2022-06-18_00000029_1","2022-06-18","1","1","88","7f5k [A]","200","X-RAY DIFFRACTION","3.00003"
"2022-06-18_00000074_1","2022-06-18","1","2","85","7oq6 [A]","443","X-RAY DIFFRACTION","2"
"2022-06-18_00000105_1","2022-06-18","0","0","87","7ou3 [A]","266","X-RAY DIFFRACTION","1.49"
"2022-06-18_00000107_1","2022-06-18","1","2","92","7ouu [B]","205","X-RAY DIFFRACTION","1.47"
"2022-06-18_00000125_1","2022-06-18","0","2","82","7qqa [A]","274","X-RAY DIFFRACTION","1.79"
"2022-06-18_00000126_1","2022-06-18","1","2","95","7qvb [B]","235","X-RAY DIFFRACTION","2.5"
"2022-06-18_00000128_1","2022-06-18","1","0","88","7r0r [A]","571","SOLUTION NMR","0"
"2022-06-18_00000162_1","2022-06-18","0","1","83","7u5o [C]","115","X-RAY DIFFRACTION","3.45"
"2022-06-18_00000175_1","2022-06-18","0","0","84","7v40 [A]","440","X-RAY DIFFRACTION","1.43"
"2022-06-18_00000197_1","2022-06-18","0","1","84","7w7a [G]","231","X-RAY DIFFRACTION","3.204"
"2022-06-18_00000232_1","2022-06-18","1","0","82","7x77 [A]","378","X-RAY DIFFRACTION","2.2"
"2022-06-18_00000260_2","2022-06-18","0","1","77","7zmn [K]","127","X-RAY DIFFRACTION","3.2"
"2022-06-18_00000262_2","2022-06-18","0","1","84","7zmp [K]","127","X-RAY DIFFRACTION","3.626"
"2022-06-18_00000263_2","2022-06-18","0","1","83","7zmq [K]","127","X-RAY DIFFRACTION","2.7"
"2022-06-18_00000264_2","2022-06-18","0","1","84","7zmr [K]","127","X-RAY DIFFRACTION","3.3"
"2022-06-18_00000269_1","2022-06-18","2","0","84","7zro [A]","40","SOLUTION NMR","0"
"2022-06-11_00000018_1","2022-06-11","0","0","65","7f08 [N]","393","X-RAY DIFFRACTION","3.16"
"2022-06-11_00000025_2","2022-06-11","0","1","61","7f15 [B]","253","X-RAY DIFFRACTION","2.65"
"2022-06-11_00000035_2","2022-06-11","1","1","64","7f4l [D]","247","X-RAY DIFFRACTION","2.72"
"2022-06-11_00000042_2","2022-06-11","2","1","64","7f4s [D]","237","X-RAY DIFFRACTION","3.09"
"2022-06-11_00000056_1","2022-06-11","1","1","68","7mni [C]","494","X-RAY DIFFRACTION","2"
"2022-06-11_00000058_1","2022-06-11","1","2","67","7mnk [A]","30","X-RAY DIFFRACTION","1.1"
"2022-06-11_00000069_2","2022-06-11","1","1","66","7mnv [B]","41","X-RAY DIFFRACTION","1.8"
"2022-06-11_00000072_2","2022-06-11","0","1","66","7mny [D]","141","X-RAY DIFFRACTION","2.7"
"2022-06-11_00000075_2","2022-06-11","0","1","66","7mo1 [B]","44","X-RAY DIFFRACTION","1.6"
"2022-06-11_00000077_2","2022-06-11","0","1","66","7mo3 [B]","42","X-RAY DIFFRACTION","2.05"
"2022-06-11_00000096_1","2022-06-11","0","2","56","7n8u [A]","266","X-RAY DIFFRACTION","1.98"
"2022-06-11_00000099_2","2022-06-11","0","1","63","7pcs [B]","248","X-RAY DIFFRACTION","2.25"
"2022-06-11_00000185_1","2022-06-11","1","0","64","7vmt [B]","149","X-RAY DIFFRACTION","1.95001"
"2022-06-11_00000205_1","2022-06-11","1","0","66","7x0f [C]","523","X-RAY DIFFRACTION","2.2"
"2022-06-11_00000212_1","2022-06-11","0","2","66","7xif [D]","309","X-RAY DIFFRACTION","2.14"
"2022-06-11_00000216_1","2022-06-11","1","2","64","7xkg [A]","429","X-RAY DIFFRACTION","2.5"
"2022-06-11_00000227_1","2022-06-11","0","1","67","7xoi [A]","548","X-RAY DIFFRACTION","2.3"
"2022-06-04_00000014_1","2022-06-04","0","2","64","7ezb [A]","182","X-RAY DIFFRACTION","1.5"
"2022-06-04_00000017_1","2022-06-04","0","0","64","7ezn [A]","205","X-RAY DIFFRACTION","1.8"
"2022-06-04_00000027_1","2022-06-04","1","0","65","7n45 [A]","138","SOLUTION NMR","0"
"2022-06-04_00000043_1","2022-06-04","0","0","66","7opt [A]","328","X-RAY DIFFRACTION","2.02"
"2022-06-04_00000049_1","2022-06-04","1","0","65","7pb9 [A]","179","X-RAY DIFFRACTION","1.8"
"2022-06-04_00000052_1","2022-06-04","0","2","68","7pgf [D]","138","X-RAY DIFFRACTION","3.5"
"2022-06-04_00000053_1","2022-06-04","1","2","70","7pgi [D]","150","X-RAY DIFFRACTION","3.638"
"2022-06-04_00000074_1","2022-06-04","0","2","62","7re5 [B]","123","X-RAY DIFFRACTION","2.5"
"2022-06-04_00000125_1","2022-06-04","0","0","66","7uw7 [A]","80","X-RAY DIFFRACTION","1.17"
"2022-06-04_00000141_1","2022-06-04","0","0","57","7vqw [A]","116","X-RAY DIFFRACTION","2.45"
"2022-06-04_00000144_1","2022-06-04","0","1","59","7vrs [A]","466","X-RAY DIFFRACTION","2.6"
"2022-06-04_00000144_2","2022-06-04","0","1","55","7vrs [C]","107","X-RAY DIFFRACTION","2.6"
"2022-06-04_00000148_1","2022-06-04","0","0","59","7vty [A]","90","X-RAY DIFFRACTION","2.5"
"2022-06-04_00000149_1","2022-06-04","0","0","58","7vu4 [A]","121","X-RAY DIFFRACTION","1.7"
"2022-06-04_00000174_1","2022-06-04","0","0","59","7xh0 [A]","308","X-RAY DIFFRACTION","1.68"
"2022-06-04_00000181_1","2022-06-04","0","2","60","8cso [C]","236","X-RAY DIFFRACTION","2.6"
"2022-06-04_00000183_1","2022-06-04","0","2","67","8d1x [D]","476","X-RAY DIFFRACTION","2.8"
"2022-05-28_00000019_1","2022-05-28","1","0","51","7exx [A]","444","X-RAY DIFFRACTION","2.5"
"2022-05-28_00000028_2","2022-05-28","0","1","61","7fau [B]","127","X-RAY DIFFRACTION","2.08"
"2022-05-28_00000076_1","2022-05-28","0","0","66","7ohz [B]","361","X-RAY DIFFRACTION","2.27"
"2022-05-28_00000080_1","2022-05-28","2","0","66","7oio [A]","144","SOLUTION NMR","0"
"2022-05-28_00000126_2","2022-05-28","1","1","68","7qii [B]","95","X-RAY DIFFRACTION","3.29"
"2022-05-28_00000130_1","2022-05-28","0","2","55","7qwt [A]","373","X-RAY DIFFRACTION","3.712"
