"Target","Submission Date","Difficulty","Quaternary State of Target","# of Monomeric Models (Homo-oligomeric)","ref. PDB [Chain]","Sequence Length (residues)","Method","Resolution"
"2023-12-30_00000003_1","2023-12-30","0","2","29","8cmx [A]","503","X-RAY DIFFRACTION","3.46"
"2023-12-30_00000028_1","2023-12-30","0","2","31","8h92 [B]","207","X-RAY DIFFRACTION","2.6"
"2023-12-30_00000035_1","2023-12-30","1","2","32","8hwi [B]","177","X-RAY DIFFRACTION","2.73"
"2023-12-30_00000036_1","2023-12-30","1","2","32","8hwj [A]","165","X-RAY DIFFRACTION","2.553"
"2023-12-30_00000038_1","2023-12-30","0","1","29","8hxq [A]","125","X-RAY DIFFRACTION","2.4"
"2023-12-30_00000059_1","2023-12-30","1","2","29","8jqe [A]","305","X-RAY DIFFRACTION","2.31"
"2023-12-30_00000080_1","2023-12-30","1","0","31","8pyh [B]","321","X-RAY DIFFRACTION","2.2"
"2023-12-30_00000081_1","2023-12-30","0","0","26","8pzk [A]","321","X-RAY DIFFRACTION","1.8"
"2023-12-30_00000102_1","2023-12-30","1","2","28","8wwu [B]","510","X-RAY DIFFRACTION","2"
"2023-12-23_00000033_1","2023-12-23","0","2","27","8c0h [G]","384","X-RAY DIFFRACTION","1.58"
"2023-12-23_00000042_3","2023-12-23","2","1","19","8che [C]","37","X-RAY DIFFRACTION","1.49"
"2023-12-23_00000076_1","2023-12-23","0","0","26","8hqq [A]","418","X-RAY DIFFRACTION","1.86"
"2023-12-23_00000089_1","2023-12-23","1","2","33","8huc [B]","275","X-RAY DIFFRACTION","1.984"
"2023-12-23_00000095_1","2023-12-23","1","0","26","8hvb [A]","614","X-RAY DIFFRACTION","1.6"
"2023-12-23_00000110_1","2023-12-23","0","2","27","8idr [C]","153","X-RAY DIFFRACTION","1.8"
"2023-12-23_00000114_1","2023-12-23","1","0","24","8iiu [B]","126","X-RAY DIFFRACTION","1.27"
"2023-12-23_00000173_1","2023-12-23","1","2","27","8q4e [A]","165","X-RAY DIFFRACTION","1.9"
"2023-12-23_00000183_1","2023-12-23","1","2","30","8qc8 [B]","393","X-RAY DIFFRACTION","2.35"
"2023-12-23_00000186_1","2023-12-23","1","2","28","8qfl [A]","184","X-RAY DIFFRACTION","1.75"
"2023-12-23_00000204_1","2023-12-23","0","0","25","8r8a [A]","130","X-RAY DIFFRACTION","1.317"
"2023-12-23_00000213_1","2023-12-23","0","2","27","8sf5 [A]","433","X-RAY DIFFRACTION","2.3"
"2023-12-16_00000080_1","2023-12-16","0","0","32","8bwk [C]","728","X-RAY DIFFRACTION","2.29"
"2023-12-16_00000095_1","2023-12-16","2","0","33","8c8j [A]","832","X-RAY DIFFRACTION","2.1"
"2023-12-16_00000107_1","2023-12-16","0","2","33","8cib [B]","209","X-RAY DIFFRACTION","1.78"
"2023-12-16_00000132_2","2023-12-16","1","1","25","8g4y [B]","39","X-RAY DIFFRACTION","1.41"
"2023-12-16_00000147_1","2023-12-16","1","0","35","8hpg [A]","312","X-RAY DIFFRACTION","3.895"
"2023-12-16_00000148_1","2023-12-16","1","1","33","8hpp [A]","471","X-RAY DIFFRACTION","3"
"2023-12-16_00000180_1","2023-12-16","0","0","32","8ht0 [A]","447","X-RAY DIFFRACTION","2"
"2023-12-16_00000223_1","2023-12-16","2","0","29","8jw3 [A]","319","X-RAY DIFFRACTION","1.45"
"2023-12-16_00000224_1","2023-12-16","2","1","35","8jwj [C]","300","X-RAY DIFFRACTION","2.96"
"2023-12-16_00000243_2","2023-12-16","0","1","29","8q7s [B]","117","X-RAY DIFFRACTION","2.7"
"2023-12-16_00000245_3","2023-12-16","0","1","29","8q94 [C]","132","X-RAY DIFFRACTION","2.5"
"2023-12-16_00000246_2","2023-12-16","0","1","30","8q95 [B]","131","X-RAY DIFFRACTION","1.6"
"2023-12-16_00000246_3","2023-12-16","0","1","29","8q95 [C]","120","X-RAY DIFFRACTION","1.6"
"2023-12-16_00000302_1","2023-12-16","1","2","33","8v4g [B]","337","X-RAY DIFFRACTION","2"
"2023-12-09_00000028_1","2023-12-09","0","0","38","8bu0 [A]","292","X-RAY DIFFRACTION","1.4"
"2023-12-09_00000031_1","2023-12-09","2","0","38","8bux [A]","334","X-RAY DIFFRACTION","1.86"
"2023-12-09_00000032_1","2023-12-09","1","2","43","8buy [A]","144","X-RAY DIFFRACTION","1.6"
"2023-12-09_00000037_1","2023-12-09","1","0","44","8bvi [A]","310","X-RAY DIFFRACTION","3.1"
"2023-12-09_00000038_1","2023-12-09","0","0","41","8c4d [A]","330","X-RAY DIFFRACTION","1.97"
"2023-12-09_00000039_1","2023-12-09","0","0","37","8c5b [A]","668","X-RAY DIFFRACTION","2.5"
"2023-12-09_00000093_1","2023-12-09","0","0","31","8fnx [A]","765","X-RAY DIFFRACTION","2.1"
"2023-12-09_00000094_1","2023-12-09","0","0","30","8fyg [A]","765","X-RAY DIFFRACTION","2.05"
"2023-12-09_00000112_1","2023-12-09","0","0","35","8hne [A]","219","X-RAY DIFFRACTION","1.13"
"2023-12-09_00000119_1","2023-12-09","0","0","36","8hoj [A]","464","X-RAY DIFFRACTION","2.9"
