#,Target,Residues,Type,Domains,Residues in domain,Classification,PDB
1,T1104,117,All groups,T1104-D1: 1-117,117,FM,7roa
2,T1106s1,122,All groups,T1106s1-D1: 50-120,71,FM/TBM,7qih
3,T1106s2,114,All groups,T1106s2-D1: 2-112,111,TBM-easy,7qih
4,T1109,227,All groups,"T1109-D1: 7-209,216-226",214,TBM-easy,-
5,T1110,227,All groups,T1110-D1: 7-227,221,TBM-easy,-
6,T1112,460,All groups,T1112-D1: 1-460,460,FM/TBM,8ork
7,T1113,193,All groups,T1113-D1: 1-192,192,FM,7uyx
8,T1114s1,189,All groups,T1114s1-D1: 20-79,60,FM/TBM,7utd
9,T1114s1,189,All groups,T1114s1-D2: 80-189,110,not evaluated,7utd
10,T1114s2,369,All groups,T1114s2-D1: 48-369,322,TBM-easy,7utd
11,T1114s3,535,All groups,T1114s3-D1: 4-516,513,TBM-easy,7utd
12,T1115,288,All groups,T1115-D1: 25-200,176,TBM-easy,-
13,T1115,288,All groups,T1115-D2: 201-272,72,TBM-easy,-
14,T1119,153,All groups,T1119-D1: 7-54,48,TBM-hard,7sq4
15,T1120,235,All groups,T1120-D1: 8-125,118,FM,7qvb
16,T1120,235,All groups,T1120-D2: 126-235,110,FM,7qvb
17,T1121,381,All groups,T1121-D1: 2-204,203,FM,7til
18,T1121,381,All groups,T1121-D2: 205-381,177,TBM-hard,7til
19,T1122,241,All groups,T1122-D1: 4-237,234,FM,8bbt
20,T1123,266,All groups,T1123-D1: 33-258,226,FM/TBM,7uzt
21,T1124,384,All groups,T1124-D1: 7-384,378,TBM-easy,7ux8
22,T1125,1200,All groups,T1125-D1: 327-460,134,FM,8h2n
23,T1125,1200,All groups,T1125-D2: 461-608,148,FM,8h2n
24,T1125,1200,All groups,T1125-D3: 609-797,189,TBM-hard,8h2n
25,T1125,1200,All groups,T1125-D4: 798-946,149,FM,8h2n
26,T1125,1200,All groups,T1125-D5: 947-1096,150,FM,8h2n
27,T1125,1200,All groups,T1125-D6: 1097-1162,66,FM,8h2n
28,T1127,211,All groups,T1127-D1: 6-210,205,TBM-hard,-
29,T1129s2,640,All groups,T1129s2-D1: 33-640,608,FM,8a8c
30,T1130,198,All groups,"T1130-D1: 28-133,139-195",163,FM,-
31,T1131,173,All groups,T1131-D1: 1-161,161,FM,-
32,T1132,102,All groups,T1132-D1: 5-102,98,TBM-easy,8ecx
33,T1133,585,All groups,T1133-D1: 4-427,424,TBM-easy,8dys
34,T1134s1,230,All groups,T1134s1-D1: 2-230,229,TBM-easy,7ubz
35,T1134s2,313,All groups,T1134s2-D1: 10-313,304,FM/TBM,7ubz
36,T1137s1,409,All groups,T1137s1-D1: 20-169,150,TBM-easy,8fef
37,T1137s1,409,All groups,T1137s1-D2: 170-409,240,FM,8fef
38,T1137s2,343,All groups,T1137s2-D1: 1-149,149,TBM-easy,8fef
39,T1137s2,343,All groups,T1137s2-D2: 150-343,194,FM,8fef
40,T1137s3,524,All groups,T1137s3-D1: 1-149,149,TBM-easy,8fef
41,T1137s3,524,All groups,T1137s3-D2: 150-313,164,FM,8fef
42,T1137s4,547,All groups,T1137s4-D1: 44-159,116,TBM-easy,8fef
43,T1137s4,547,All groups,T1137s4-D2: 160-394,235,FM,8fef
44,T1137s4,547,All groups,T1137s4-D3: 395-468,74,FM,8fef
45,T1137s5,390,All groups,T1137s5-D1: 33-169,137,TBM-easy,8fef
46,T1137s5,390,All groups,T1137s5-D2: 170-390,221,FM,8fef
47,T1137s6,518,All groups,T1137s6-D1: 1-151,151,TBM-easy,8fef
48,T1137s6,518,All groups,T1137s6-D2: 152-399,248,FM,8fef
49,T1137s7,653,All groups,T1137s7-D1: 1-325,325,TBM-easy,8fef
50,T1137s8,266,All groups,T1137s8-D1: 16-266,251,TBM-easy,8fef
51,T1137s9,289,All groups,T1137s9-D1: 25-289,265,TBM-easy,8fef
52,T1139,317,All groups,T1139-D1: 23-317,295,TBM-hard,-
53,T1145,635,All groups,T1145-D1: 4-102,99,TBM-easy,7uww
54,T1145,635,All groups,T1145-D2: 103-635,533,FM,7uww
55,T1146,310,All groups,T1146-D1: 29-307,279,TBM-easy,-
56,T1147,103,All groups,T1147-D1: 12-103,92,TBM-easy,8em5
57,T1150,370,All groups,T1150-D1: 3-351,349,FM,-
58,T1151s2,116,All groups,T1151s2-D1: 28-111,84,FM/TBM,8d5v
59,T1152,56,All groups,T1152-D1: 1-46,46,TBM-hard,7r1l
60,T1153,299,All groups,T1153-D1: 3-297,295,TBM-easy,-
61,T1154,1424,All groups,T1154-D1: 30-234,205,FM,7zcx
62,T1154,1424,All groups,T1154-D2: 235-1069,835,FM,7zcx
63,T1155,116,All groups,T1155-D1: 5-108,104,FM/TBM,8pbv
64,T1157s1,1029,All groups,T1157s1-D1: 1-661,661,TBM-hard,-
65,T1157s1,1029,All groups,"T1157s1-D2: 662-757,1005-1022",114,not evaluated,-
66,T1157s1,1029,All groups,T1157s1-D3: 758-1004,247,not evaluated,-
67,T1157s2,495,All groups,T1157s2-D1: 1-106,106,TBM-easy,-
68,T1157s2,495,All groups,T1157s2-D2: 107-323,217,TBM-easy,-
69,T1157s2,495,All groups,T1157s2-D3: 324-464,141,TBM-easy,-
70,T1158,1340,All groups,"T1158-D1: 48-234,347-394,409-615,861-974",556,TBM-easy,8sxa
71,T1158,1340,All groups,"T1158-D2: 235-346,692-860,975-1296",603,TBM-easy,8sxa
72,T1159,160,All groups,T1159-D1: 1-160,160,FM,7pzt
73,T1160,48,All groups,T1160-D1: 5-33,29,TBM-easy,-
74,T1161,48,All groups,T1161-D1: 1-48,48,TBM-easy,-
75,T1162,196,All groups,"T1162-D1: 4-28,59-196",163,TBM-easy,-
76,T1163,191,All groups,T1163-D1: 8-191,184,TBM-easy,-
77,T1165,3014,All groups,T1165-D1: 2-595,594,TBM-easy,-
78,T1165,3014,All groups,T1165-D2: 596-1319,724,TBM-hard,-
79,T1165,3014,All groups,T1165-D3: 1320-2008,689,TBM-hard,-
80,T1165,3014,All groups,T1165-D4: 2049-2130,82,TBM-easy,-
81,T1165,3014,All groups,T1165-D5: 2621-3000,380,TBM-easy,-
82,T1165,3014,All groups,T1165-D6: 2181-2620,440,TBM-hard,-
83,T1169,3364,All groups,T1169-D1: 1-345,345,FM,8fjp
84,T1169,3364,All groups,T1169-D2: 1302-2735,1434,FM,8fjp
85,T1169,3364,All groups,"T1169-D3: 378-699,1223-1301",401,TBM-hard,8fjp
86,T1169,3364,All groups,T1169-D4: 700-1222,523,FM,8fjp
87,T1170,318,All groups,T1170-D1: 4-243,240,TBM-easy,7pbr
88,T1170,318,All groups,T1170-D2: 244-315,72,TBM-easy,7pbr
89,T1173,204,All groups,T1173-D1: 1-62,62,TBM-easy,8on4
90,T1173,204,All groups,T1173-D2: 63-204,142,FM,8on4
91,T1174,338,All groups,T1174-D1: 1-216,216,FM,8ok3
92,T1174,338,All groups,T1174-D2: 217-338,122,TBM-hard,8ok3
93,T1175,312,All groups,T1175-D1: 1-312,312,TBM-hard,-
94,T1176,170,All groups,T1176-D9: 1-170,170,TBM-hard,8smq
95,T1177,223,All groups,T1177-D1: 1-223,223,FM,-
96,T1178,306,All groups,T1178-D1: 17-291,275,FM,8ufn
97,T1179,261,All groups,T1179-D1: 2-253,252,FM,8tn8
98,T1180,404,All groups,T1180-D1: 1-404,404,TBM-hard,-
99,T1181,2058,All groups,T1181-D1: 1-88,88,FM/TBM,-
100,T1181,2058,All groups,T1181-D2: 89-688,600,FM,-
101,T1182,544,All groups,T1182-D1: 21-544,524,FM,-
102,T1183,200,All groups,T1183-D1: 1-195,195,TBM-easy,8ifx
103,T1184,171,All groups,"T1184-D1: 34-63,73-101,106-171",125,FM,-
104,T1185s1,350,All groups,T1185s1-D1: 4-71,68,TBM-easy,8ouy
105,T1185s2,376,All groups,"T1185s2-D1: 11-66,84-349",322,TBM-easy,8ouy
106,T1185s4,280,All groups,"T1185s4-D1: 20-200,222-244,251-280",234,TBM-easy,8ouy
107,T1187,166,All groups,T1187-D1: 3-166,164,FM,8ad2
108,T1188,630,All groups,T1188-D1: 25-597,573,TBM-easy,8c6z
109,T1194,168,All groups,T1194-D1: 7-167,161,FM,8okh
110,T1195,279,All groups,T1195-D1: 3-279,277,TBM-easy,-
111,T1196,361,All groups,T1196-D1: 9-351,343,TBM-easy,-
112,T1197,289,All groups,T1197-D1: 16-277,262,TBM-easy,-
